Day,Open,High,Low,Close,Adj Close,Volume
262,10677.0305,10738.4374,10599.5224,10733.7524,10733.7524,27515034
263,10893.5497,10895.9969,10801.9407,10817.2061,10817.2061,33411749
264,10879.3469,10898.413,10801.014,10848.3167,10848.3167,35446338
265,10848.3151,10917.4838,10819.6001,10843.809,10843.809,38371401
266,10875.3499,10922.6895,10871.0582,10902.4283,10902.4283,32559469
267,10938.2748,10949.1083,10866.6291,10877.7287,10877.7287,32611176
268,10931.2017,10953.5516,10895.7484,10902.5751,10902.5751,32062959
269,10864.0086,10880.9991,10787.4253,10832.1971,10832.1971,32283028
270,10631.0861,10657.9823,10529.9147,10539.1717,10539.1717,40059197
271,10687.7486,10919.5299,10680.4394,10908.2004,10908.2004,38457820
272,10997.4934,11093.6162,10978.119,11057.3972,11057.3972,35230304
273,11025.7861,11071.5247,11001.9438,11021.5215,11021.5215,30231214
274,10941.7169,10941.7169,10838.7112,10863.2962,10863.2962,30749150
275,10967.1733,11013.1974,10953.0364,11000.5283,11000.5283,28125440
276,11053.6247,11099.1723,11033.126,11077.5817,11077.5817,25259007
277,11134.9679,11212.5936,11118.9805,11179.5428,11179.5428,30337049
278,11142.3213,11210.4783,11088.4516,11164.125,11164.125,34755949
279,11163.2216,11202.321,11148.7616,11188.8891,11188.8891,23568136
280,11294.2504,11305.9643,11261.4742,11273.6024,11273.6024,23971832
281,11247.2852,11275.9102,11168.9259,11191.6494,11191.6494,26571411
282,11254.0691,11292.901,11247.8106,11281.2303,11281.2303,28754401
283,11262.1464,11262.1464,11171.9611,11182.9794,11182.9794,31265113
284,11152.8085,11231.4648,11152.8085,11211.2815,11211.2815,29913769
285,11356.8238,11381.5963,11319.394,11361.6286,11361.6286,29054622
286,11357.8658,11402.6323,11329.7433,11364.9163,11364.9163,27878955
287,11302.6244,11315.9681,11245.9626,11270.1559,11270.1559,24115315
288,11160.3812,11168.3284,11131.8979,11159.9281,11159.9281,34185301
289,11111.7692,11122.262,10931.5476,10948.466,10948.466,45026275
290,10957.6364,11000.9147,10892.7368,10990.068,10990.068,23889285
291,11154.3743,11262.3961,11147.6912,11228.5642,11228.5642,31491265
292,11237.4346,11262.8197,11118.4929,11166.3519,11166.3519,29235076
293,11140.7338,11165.7237,11043.4298,11043.4298,11043.4298,30158279
294,11182.0892,11257.9116,11181.1053,11220.8606,11220.8606,36454327
295,11209.1103,11227.9739,11169.6073,11213.3394,11213.3394,25239442
296,11224.7734,11238.8945,11155.7118,11229.1574,11229.1574,29495460
297,11223.1032,11257.2275,11197.3274,11254.4932,11254.4932,31735077
298,11337.5057,11337.5057,11248.0983,11292.6429,11292.6429,32949225
299,11021.3136,11025.4696,10836.9084,10870.8724,10870.8724,36004267
300,11008.877,11157.9111,11008.877,11140.962,11140.962,48973462
301,11071.9153,11090.0528,11014.3149,11084.9407,11084.9407,37295060
302,10994.3262,10994.3262,10881.676,10912.5818,10912.5818,31255353
303,10938.2877,10958.2492,10897.5356,10926.5917,10926.5917,27655108
304,11126.7063,11220.9165,11111.2996,11130.9181,11130.9181,33118781
305,11267.4925,11267.4925,11135.835,11143.478,11143.478,33223827
306,11263.4236,11346.5166,11224.9321,11341.5493,11341.5493,31435629
307,11318.0323,11350.8069,11285.8417,11318.1676,11318.1676,29955127
308,11316.9339,11366.9206,11310.7918,11350.4319,11350.4319,25928798
309,11369.8903,11369.8903,11286.8135,11297.7787,11297.7787,24117009
310,11382.3403,11414.5724,11355.1962,11409.7103,11409.7103,25675313
311,11202.6358,11258.6449,11198.4777,11258.6449,11258.6449,26420321
312,11296.3432,11326.9895,11278.2059,11321.7545,11321.7545,25310599
313,11250.7512,11300.5579,11207.5512,11296.3128,11296.3128,28451116
314,11480.834,11526.5325,11470.4336,11504.7779,11504.7779,29367717
315,11479.8228,11559.3625,11473.1607,11538.7636,11538.7636,26548038
316,11501.3873,11557.6514,11475.2458,11522.8837,11522.8837,35316241
317,11502.5923,11518.8592,11391.1818,11407.5667,11407.5667,30529877
318,11542.6757,11549.0594,11503.311,11523.2062,11523.2062,1
319,11552.5948,11600.2712,11506.1325,11567.8402,11567.8402,19537754
320,11495.7303,11509.4935,11432.7771,11505.0336,11505.0336,22881718
321,11681.2232,11684.405,11560.3453,11599.281,11599.281,27611832
322,11616.6986,11695.9658,11601.9889,11681.7695,11681.7695,28569278
323,11488.8261,11542.1091,11439.911,11536.1186,11536.1186,35951426
324,11499.9008,11503.0577,11339.5712,11364.7703,11364.7703,42925189
325,11211.6984,11217.4421,11153.0224,11198.5058,11198.5058,42757181
326,11174.2075,11208.9628,11081.7482,11127.0112,11127.0112,44936076
327,11125.2912,11204.3396,10992.1517,11080.1861,11080.1861,47385413
328,11006.6393,11057.004,10979.1961,11012.1159,11012.1159,38605250
329,10790.3805,10897.252,10728.6908,10891.9526,10891.9526,39933167
330,10934.8112,10975.5611,10859.8319,10974.0236,10974.0236,40904984
331,11005.6765,11005.6765,10900.824,10958.7371,10958.7371,31257887
332,11044.5982,11123.6061,11020.2294,11046.2774,11046.2774,35183005
333,11049.8523,11114.2086,11037.7577,11047.6532,11047.6532,30131463
334,11032.7735,11088.7096,11006.3348,11064.6004,11064.6004,34683990
335,11143.2284,11159.4007,11087.6836,11096.2279,11096.2279,28196064
336,11067.7225,11083.0438,11011.5382,11052.5165,11052.5165,27595164
337,10935.6427,11006.7539,10905.0006,11006.7539,11006.7539,31711955
338,10955.2619,10998.7338,10937.2861,10972.9362,10972.9362,19260830
339,11114.4733,11172.4553,11109.2797,11152.7526,11152.7526,45692793
340,10932.5607,10941.0296,10843.8711,10905.5345,10905.5345,32753921
341,10870.0777,10901.8471,10832.4875,10901.8471,10901.8471,29564381
342,10805.2716,10824.9682,10699.4133,10709.6073,10709.6073,39061211
343,10492.9335,10549.7964,10481.5109,10535.7828,10535.7828,30403894
344,10636.495,10651.4385,10560.3908,10622.2753,10622.2753,31941676
345,10848.3156,10917.9944,10836.9044,10905.1131,10905.1131,31994480
346,10713.5842,10763.3876,10713.5842,10728.1469,10728.1469,27165352
347,10811.6647,10836.5381,10789.2744,10824.5868,10824.5868,21526671
348,10933.0694,10969.7207,10924.0251,10953.292,10953.292,29115428
349,10892.1155,10958.0068,10875.1214,10946.1851,10946.1851,23674739
350,10963.1508,11030.2404,10957.1112,10962.8032,10962.8032,25442754
351,10934.3019,10970.8452,10877.7727,10929.6716,10929.6716,31887627
352,10891.2761,10927.6609,10850.7985,10926.1915,10926.1915,27777587
353,10944.668,10991.5125,10918.5492,10959.7343,10959.7343,21239083
